Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,43.77,7026.24,1848.901,1812.48,295102.08,77653.824,76124.16
gpu,714000000,62.75,8303.034,2861.11,1921.054,357030.464,123027.712,82605.312
gpu,918000000,67.92,9243.901,3726.739,1954.756,397487.744,160249.792,84054.528
gpu,408000000,50.35,7335.36,2056.89,1852.8,308085.12,86389.376,77817.6
gpu,510000000,55.16,7581.12,2226.54,1888.32,318407.04,93514.688,79309.44
gpu,816000000,65.71,8724.318,3250.879,1930.416,375145.664,139787.776,83007.872
gpu,612000000,58.78,7824.96,2423.438,1893.435,328648.32,101784.384,79524.288
dla0,306000000,43.57,6815.04,1534.52,1826.88,286231.68,64449.856,76728.96
dla0,714000000,54.33,7657.987,2216.889,1892.227,329293.44,95326.208,81365.76
dla0,918000000,56.53,8315.204,2825.591,1900.458,357553.792,121500.416,81719.68
dla0,408000000,47.49,7013.76,1674.458,1853.76,294577.92,70327.232,77857.92
dla0,510000000,50.49,7172.16,1775.098,1880.64,301230.72,74554.112,78986.88
dla0,816000000,55.80,7945.267,2484.426,1891.236,341646.464,106830.336,81323.136
dla0,612000000,52.34,7323.84,1895.866,1893.12,307601.28,79626.368,79511.04
